"HR","lower","upper","variable","n","N","pct","n_pct","significant"
8.76540329511523,1.0622181492064,72.3319357548351,"estimate",NA,NA,NA,NA,"Yes"
3.1842545123803,1.40927722097151,7.19480642185111,"upper",NA,NA,NA,NA,"Yes"
1674.77710309686,0.014919341428556,188002825.626667,"lower",NA,NA,NA,NA,"No"
1.02621834311469,0.763475640085959,1.3793813875011,"estimate_quartile",NA,NA,NA,NA,"No"
0.882015845855253,0.61847749145029,1.25785006422062,"estimate_quartile",NA,NA,NA,NA,"No"
1.33653635763009,0.97658190019867,1.82916500388109,"estimate_quartile",NA,NA,NA,NA,"No"
0.886370895521713,0.460542639007936,1.70592969658652,"otherCRE",NA,NA,NA,NA,"No"
0.994676303994958,0.987925495666796,1.0014732427381,"age",NA,NA,NA,NA,"No"
1.15226648765396,0.919066045112838,1.44463835393612,"GENDER",NA,NA,NA,NA,"No"
0.865486486784788,0.646858187501519,1.15800784975813,"Ab_history",NA,NA,NA,NA,"No"
0.836316058414807,0.630256489793531,1.10974589058433,"HealthcareHistory",NA,NA,NA,NA,"No"
0.84918427121466,0.669211225669623,1.0775580247579,"CORMOBIDITY",NA,NA,NA,NA,"No"
1.47810281902642,0.802535696029557,2.72235609509062,"CPD",NA,NA,NA,NA,"No"
1.01818190460589,0.504870309934694,2.05338751451038,"SEV_RENAL",NA,NA,NA,NA,"No"
1.53755583931286,1.21243019065678,1.94986728079119,"wardtype",NA,NA,NA,NA,"Yes"
0.835519721066765,0.631317934941071,1.10577122184347,"hospitaltype",NA,NA,NA,NA,"No"
1.20661091274693,0.855536376783033,1.70175101172724,"problem_alcohol",NA,NA,NA,NA,"No"
1.27267798931445,0.69550419708822,2.32882744815416,"problem_drug",NA,NA,NA,NA,"No"
0.962891209993669,0.767793364119714,1.20756381288353,"MedicationHistory",NA,NA,NA,NA,"No"
1.18669300727303,0.863716504515417,1.6304427276179,"smoking",NA,NA,NA,NA,"No"
1.10821567370387,0.831618678729273,1.47680903622745,"smoking",NA,NA,NA,NA,"No"
0.914709488069826,0.71436606585826,1.17123907132926,"children",NA,NA,NA,NA,"No"
0.886265093371863,0.661585045728269,1.18724844341788,"married",NA,NA,NA,NA,"No"
1.01929242894696,0.961532003414336,1.08052259521194,"householdsize",NA,NA,NA,NA,"No"
1.84856876473568,1.46777787026053,2.32814961118733,"early_any_abx",NA,NA,NA,NA,"Yes"
1.10853323106765,1.05706483709678,1.16250761661535,"early_DOT",NA,NA,NA,NA,"Yes"
1.03864208960906,1.02563975697768,1.05180925658184,"DOT",NA,NA,NA,NA,"Yes"
2.95876648793604,2.20869866401429,3.96355522496786,"DOT_bin",NA,NA,NA,NA,"Yes"
1.20876366607409,1.13497573805942,1.28734875242274,"DOT_5",NA,NA,NA,NA,"Yes"
1.00921665300095,0.962438522987098,1.058268375972,"Amoxicillin_clavulanicAcid",NA,NA,NA,NA,"No"
0.976214974325074,0.936310299044089,1.01782034980225,"Cefoperazone",NA,NA,NA,NA,"No"
1.05706283827446,1.0162400781844,1.09952546455082,"Ciprofloxacin",NA,NA,NA,NA,"Yes"
1.1040788338098,0.692990475671256,1.7590286072634,"ICDGroup",NA,NA,NA,NA,"No"
1.47601799118558,0.881686342600468,2.4709797634812,"ICDGroup",NA,NA,NA,NA,"No"
2.00275117807073,1.10824055918846,3.61926140313878,"ICDGroup",NA,NA,NA,NA,"Yes"
1.39396404850699,0.764317772091748,2.54231399488737,"ICDGroup",NA,NA,NA,NA,"No"
1.27592075674182,0.575976411091943,2.82645911557088,"ICDGroup",NA,NA,NA,NA,"No"
1.24752556028147,0.81391118645977,1.91214969083427,"ICDGroup",NA,NA,NA,NA,"No"
1.42759627484226,0.89532172874696,2.27631147386069,"ICDGroup",NA,NA,NA,NA,"No"
