"HR","lower","upper","variable","n","N","pct","n_pct","significant"
0.41798354463558,0.00767190168042297,22.7727427779668,"estimate",NA,NA,NA,NA,"No"
3.18530574962895,0.837424767899594,12.1159214624946,"upper",NA,NA,NA,NA,"No"
0.261187287868685,5.88992871776846e-10,115822792.792721,"lower",NA,NA,NA,NA,"No"
1.09759654119385,0.668641707786308,1.80173948650198,"estimate_quartile",NA,NA,NA,NA,"No"
0.787314570597758,0.423884216349784,1.46234327480603,"estimate_quartile",NA,NA,NA,NA,"No"
1.24856277233302,0.740046878711228,2.1065003330204,"estimate_quartile",NA,NA,NA,NA,"No"
0.95000110279116,0.563423871789191,1.60181728267647,"otherCRE",NA,NA,NA,NA,"No"
0.989154862012141,0.97813951037152,1.00029426341303,"age",NA,NA,NA,NA,"No"
1.24661469590478,0.853850699811473,1.82004676038668,"GENDER",NA,NA,NA,NA,"No"
0.950439181463447,0.58263862868397,1.55042009435816,"Ab_history",NA,NA,NA,NA,"No"
1.36908780226897,0.899051694604074,2.0848649989444,"HealthcareHistory",NA,NA,NA,NA,"No"
1.11725005427219,0.735493058684726,1.69715766727078,"CORMOBIDITY",NA,NA,NA,NA,"No"
0.513705368064182,0.12515722950692,2.10849350227399,"CPD",NA,NA,NA,NA,"No"
2.54952126057761,1.11308830375402,5.8396612705524,"SEV_RENAL",NA,NA,NA,NA,"Yes"
1.39200295578893,0.937287096425162,2.0673198599612,"wardtype",NA,NA,NA,NA,"No"
1.92999685215615,1.29862487853484,2.86833242678611,"hospitaltype",NA,NA,NA,NA,"Yes"
1.73928629564202,1.06137390164972,2.85018956421119,"problem_alcohol",NA,NA,NA,NA,"Yes"
2.56451636099492,1.17345257116576,5.60461012861986,"problem_drug",NA,NA,NA,NA,"Yes"
0.845768545360609,0.5799328393289,1.23346081444392,"MedicationHistory",NA,NA,NA,NA,"No"
1.28772153774215,0.757147386961245,2.19009771059261,"smoking",NA,NA,NA,NA,"No"
1.46528299326983,0.939116601445152,2.28624885031509,"smoking",NA,NA,NA,NA,"No"
1.21859557130883,0.792570816398734,1.87361827572822,"children",NA,NA,NA,NA,"No"
1.03826742270908,0.623904645894806,1.72782691738557,"married",NA,NA,NA,NA,"No"
1.00381771328356,0.907944441530195,1.10981460473904,"householdsize",NA,NA,NA,NA,"No"
1.67984702698253,1.14239285229949,2.47015379024995,"early_any_abx",NA,NA,NA,NA,"Yes"
1.14532997957263,1.06175953985256,1.23547819715376,"early_DOT",NA,NA,NA,NA,"Yes"
1.03251609757723,1.0140293434299,1.05133988346938,"DOT",NA,NA,NA,NA,"Yes"
2.13588826001425,1.33054744428828,3.42867793166667,"DOT_bin",NA,NA,NA,NA,"Yes"
1.17350510559879,1.07214528251832,1.28444741148493,"DOT_5",NA,NA,NA,NA,"Yes"
1.04116152478914,0.970896162037752,1.11651210818062,"Amoxicillin_clavulanicAcid",NA,NA,NA,NA,"No"
0.970582192496106,0.90388056635179,1.04220604741258,"Cefoperazone",NA,NA,NA,NA,"No"
0.946555209943239,0.870432500169098,1.02933514694894,"Ciprofloxacin",NA,NA,NA,NA,"No"
1.34719315723834,0.657175217759008,2.76171309243642,"ICDGroup",NA,NA,NA,NA,"No"
1.03670407493073,0.42510966788193,2.52818371394102,"ICDGroup",NA,NA,NA,NA,"No"
1.05216256580187,0.362688946321159,3.05232920965418,"ICDGroup",NA,NA,NA,NA,"No"
0.760467769826323,0.239397398838306,2.41569554118349,"ICDGroup",NA,NA,NA,NA,"No"
1.91418436794779,0.648317013763796,5.65171315376064,"ICDGroup",NA,NA,NA,NA,"No"
1.00646950077714,0.502204426950786,2.01706875055851,"ICDGroup",NA,NA,NA,NA,"No"
1.25212216726599,0.593776136698364,2.64040574361332,"ICDGroup",NA,NA,NA,NA,"No"
